origin_time,origin_time_2021,latitude,longitude,depth,magnitude,event_id,rupture_radius,uncertainty_x,uncertainty_y,uncertainty_z,uncertainty_time
2022-12-15 03:05:34.730,32756734.73,40.475167,-124.335667,25.87,0.55,1008191,0.010747,9.99596517,3.37471497,0.90525466,1.8010304
2022-12-15 03:44:30.100,32759070.1,40.447,-124.470833,29.64,0.52,1008192,0.010382,7.10915313,5.26718488,1.99500255,0.05834389
2022-12-15 05:35:34.570,32765734.57,40.255167,-124.690667,12.55,0.83,1008193,0.014835,3.11696225,6.37021252,5.75529292,0.28423929
2022-12-15 06:50:46.990,32770246.99,40.182333,-123.869667,29.17,0.51,1008194,0.010263,14.40527485,7.84600305,0.97034173,0.32771623
2022-12-15 07:34:05.630,32772845.63,40.248833,-124.521167,18.43,0.38,1008195,0.008837,6.8581626,7.62248593,2.38490538,0.10466897
2022-12-15 09:09:04.100,32778544.1,40.535333,-124.639,7.66,0.6,1008196,0.011384,8.09656894,14.5938555,7.82579327,0.60689497
2022-12-15 14:27:41.970,32797661.97,39.8485,-123.643167,5.29,0.96,1008197,0.01723,10.21973611,9.41980613,7.04961539,0.56412089
2022-12-15 14:35:18.560,32798118.56,40.283833,-124.559167,4.08,0.62,1008198,0.011649,5.48264168,4.83863594,5.45434949,0.15015793
2022-12-15 15:02:08.040,32799728.04,39.783167,-123.356167,3.11,0.06,1008199,0.006113,17.13781991,11.9874216,8.53677563,0.04579362
2022-12-15 17:57:47.860,32810267.86,40.478,-124.302167,21.08,0.5,1008200,0.010146,10.01090631,4.53186698,1.90859031,0.07123923
2022-12-15 17:58:02.150,32810282.15,40.425667,-124.225833,26.57,0.47,1008201,0.009801,8.53687743,4.22121747,1.55209043,0.20194949
2022-12-15 18:03:06.370,32810586.37,40.474333,-124.319667,19.18,0.45,1008202,0.009578,11.26411315,4.27377189,2.38335099,0.14803874
2022-12-15 19:01:42.000,32814102.0,40.2435,-124.661333,7.9,1.6,1008203,0.035999,7.65680853,7.19195175,7.80514584,1.51398754
2022-12-15 19:33:28.500,32816008.5,40.727,-123.810333,24.68,2.61,nc73819026,0.115156,13.76271978,4.3194489,3.27790741,0.11781931
2022-12-15 20:55:51.210,32820951.21,40.521333,-124.09,30.8,0.66,1008205,0.012198,14.74659567,3.87131509,2.15678092,0.15196705
2022-12-15 21:19:32.320,32822372.32,40.921667,-123.682167,28.95,1.55,1008206,0.033985,16.87749861,6.39998745,2.08824532,0.47689962
2022-12-15 22:12:09.810,32825529.81,40.505,-124.296667,17.5,0.56,1008207,0.010871,9.22032686,3.24135981,2.46793327,0.15596795
